"";"name";"brewery";"beer_type";"alc";"blg";"fermentation";"price"
"234";"Hoplala Porananas- But. 0,5l";"hoplala";"ipa";5,2;13;"top";8,99
"235";"Hoplala Przyjaźń czy kochanie- But. 0,5l";"hoplala";"pszeniczne";3,9;10;"top";8,99
"236";"Hoplala Pszecudnej urody- But. 0,5l";"hoplala";"pszeniczne";3,9;10;"top";8,99
"237";"Hoplala Pszekulturalna- But. 0,5l";"hoplala";"pszeniczne";5;12;"top";8,99
"238";"Hoplala Wolna czy zajęta- But. 0,5l";"hoplala";"ipa";5,2;13;"top";8,99
"239";"Jabłonowo Na miodzie gryczanym 0,5l";"jabłonowo";"lager";5,2;16;"bottom";6,49
"240";"Jabłonowo Na miodzie z imbirem 0,5l";"jabłonowo";"lager";5;15;"bottom";6,49
"241";"Jan Olbracht 2030 Hoppy American Wheat 0,5l";"jan olbracht";"pszeniczne";4,6;12;"top";12,48
"242";"Jan Olbracht 2030 Juicy IPA – But. 0,5l";"jan olbracht";"ipa";6;15;"top";12,48
"243";"Jan Olbracht 2030 TDH Hazy IPA 0,5l";"jan olbracht";"ipa";5,8;15;"top";12,99
"244";"Jan Olbracht Córa Koryntu 0,5l";"jan olbracht";"pszeniczne";7;16;"top";7,98
"245";"Jan Olbracht Korona Olbrachta 0,5l";"jan olbracht";"ale";5,6;12;"top";6,69
"246";"Jan Olbracht Niskoalkoholowa IPA";"jan olbracht";"ipa";2;6;"top";8,99
"247";"Jan Olbracht Opactwo króla 0,5l";"jan olbracht";"ipa";7;16;"top";8,49
"248";"Jan Olbracht Pomarańczarnia 0,5l";"jan olbracht";"pszeniczne";5,6;12;"top";7,49
"249";"Jan Olbracht Powrót króla- But. 0,5l";"jan olbracht";"apa";5,6;12;"top";7,69
"250";"Jan Olbracht Śmietanka- But. 0,5l";"jan olbracht";"pszeniczne";5,6;12;"top";7,49
"251";"Jan Olbracht Tajemnice króla 0,5l";"jan olbracht";"stout";5,6;12;"top";7,69
"252";"Jurajskie Jasne Pełne – But. 0,5l";"jurajskie";"lager";4,7;11,5;"bottom";5,29
"253";"Jurajskie Pomarańcza But. 0,5l";"jurajskie";"pszeniczne";4,7;16,5;"top";7,98
"254";"Jurajskie Pszeniczne Jasne 0,5l";"jurajskie";"pszeniczne";5,3;13,1;"top";7,49
"255";"Jurajskie Różowa pantera 0,5l";"jurajskie";"ipa";7;18;"top";10,69
"256";"Jurajskie z Ostropestem- But. 0,5l";"jurajskie";"ipa";4;11,5;"top";7,49
"257";"Komes Imperial IPA 0,5l B/Zwr";"komes";"ipa";7;18;"top";7,98
"258";"Komes Russian Imperial Stout 0,5l b/zwr";"komes";"stout";12;25;"top";9,99
"259";"Kormoran ALE– Butelka. 0,5l";"kormoran";"ale";5,1;13;"top";6,49
"260";"Kormoran American IPA- But. 0,5l";"kormoran";"ipa";6;16;"top";10,98
"261";"Kormoran Jasny — But. 0,5l";"kormoran";"pils";4,9;12,5;"bottom";6,49
"262";"Kormoran Rewolucje Warmińskie- But. 0,5l";"kormoran";"lager";5,2;12,5;"bottom";6,49
"263";"Kormoran Śliwka w Piwie- But. 0,5l";"kormoran";"lager";4,4;14,5;"bottom";6,99
"264";"Kormoran Wiśnia w Piwie- But. 0,5l";"kormoran";"lager";4,7;14,5;"bottom";6,99
"265";"Krajan – Irlandzkie Ciemne- But. 0,5l";"krajan";"lager";6;14;"bottom";6,99
"266";"Krajan – Irlandzkie Jasne- But. 0,5l";"krajan";"lager";6;14,1;"bottom";6,99
"267";"Krajan – Irlandzkie Zielone- But. 0,5l";"krajan";"lager";5,5;12,1;"bottom";6,99
"268";"Kulmbach Kapuziner Waisbier – But. 0,5l";"kulmbach";"pszeniczne";5,4;12,3;"top";7,49
"269";"Kultowe Bez glutenu- But. 0,5l";"kultowe";"lager";5,2;12;"bottom";4,99
"270";"Lobster Rare Vision – But. 0,5l";"lobster";"ipa";4,9;12;"top";10,49
"271";"Lwówek Jankes Ale– But. 0,5l";"lwówek";"ale";5;12,5;"top";8,19
"272";"Madame Barrel Berta Pretzel 0,5l";"madame barrel";"ipa";7,1;16;"top";12,69
"273";"Madame Barrel Jimi Whoop – But. 0,5l";"madame barrel";"ipa";7,7;16;"top";12,99
"274";"Madame Barrel Lena Pearl – But. 0,5l";"madame barrel";"stout";9,5;27;"top";14,49
"275";"Magic Road Delicacy 0,5l puszka";"magic road";"stout";7;20;"top";14,99
"276";"Magic Road Distant Faces 0,5l puszka";"magic road";"ipa";7,7;18;"top";14,49
"277";"Magic Road Dream On 0,5l puszka";"magic road";"ipa";7,8;18;"top";14,49
"278";"Magic Road Good Habits 0,5l puszka";"magic road";"ipa";6,6;16;"top";14,99
"279";"Magic Road Just for Your Interest 0,5l puszka";"magic road";"ipa";8,8;19;"top";14,99
"280";"Magic Road Lady in Black 0,5l";"magic road";"stout";10,5;26;"top";17,49
"281";"Magic Road Perfect Breakfast 0,44l puszka";"magic road";"stout";11;27;"top";32,39
"282";"Magic Road Point in Time 0,5l puszka";"magic road";"ipa";6,2;15;"top";13,49
"283";"Magic Road Strong Beliefs 0,5l puszka";"magic road";"ipa";8,2;19;"top";14,99
"284";"Magic Road We Didn’t Plan This 0,5l puszka";"magic road";"ipa";5,1;13,5;"top";13,99
"285";"Maisel’s Weisse Kristall – But. 0,5l";"maisel’s";"ale";5;11,7;"top";7,98
"286";"Majstersztyk Włóczęga – But. 0,5l";"majstersztyk";"ale";4;11;"top";10,98
"287";"Maltgarden Beyond the Meadow 0,5l puszka";"maltgarden";"ipa";7,7;18;"top";13,99
"288";"Maltgarden Coffee to Go Brazil Cerrada Natural";"maltgarden";"stout";5,9;18;"top";10,39
"289";"Maltgarden Gate Nr 4 The Middle of Silence";"maltgarden";"stout";10,5;30;"top";45,99
"290";"Maltgarden Gate Nr 5 Iceman Interview BBA 0,5l";"maltgarden";"stout";10,5;30;"top";45,99
"291";"Maltgarden Gate Nr3 Bourbon & Maple Syrup";"maltgarden";"stout";10,5;30;"top";12,48
"292";"Maltgarden Hallertauer Pils 0,5l";"maltgarden";"pils";5;12;"bottom";10,69
"293";"Maltgarden Historical Importance 0,5l";"maltgarden";"lager";5,7;13;"bottom";9,99
"294";"Maltgarden Inappropriate Images 0,5l puszka";"maltgarden";"ipa";8,2;20;"top";13,99
"295";"Maltgarden Open End Resource 0,5l puszka";"maltgarden";"ipa";6;16;"top";8,99
"296";"Maltgarden Sandy Weekends 0,5l";"maltgarden";"pszeniczne";5;13;"top";8,99
"297";"Maltgarden Straight from the Farm 0,5l puszka";"maltgarden";"ipa";8,2;20;"top";14,49
"298";"Maltgarden These Three Letters 0,5l puszka";"maltgarden";"ipa";6;16;"top";13,99
"299";"Maltgarden Underneath the Tower 0,5l puszka";"maltgarden";"ipa";6;16;"top";13,49
"300";"Maltgarden Where Do We Begin 0,5l puszka";"maltgarden";"ipa";4,5;12;"top";13,49
"301";"Maryensztadt Bawarska pszenica – But. 0,5l";"maryensztadt";"pszeniczne";4,2;13;"top";6,49
"302";"Maryensztadt Bezglutenowe APA 0,5l";"bezglutenowe";"apa";4,1;11;"top";6,79
"303";"Maryensztadt Cherry Flanders Red Ale 0,75l";"maryensztadt";"ale";5,6;13,2;"top";34,99
"304";"Maryensztadt Darkness My Friend Oat Stout 0,44l";"maryensztadt";"stout";6;15;"top";8,99
"305";"Maryensztadt Nevermind vol. 10 0,5l";"maryensztadt";"apa";4,9;13;"top";10,98
"306";"Maryensztadt Nevermind vol. 11 0,44l puszka";"maryensztadt";"ipa";6,5;18;"top";13,99
"307";"Maryensztadt Nevermind vol. 12 0,44l puszka";"maryensztadt";"ipa";6;18;"top";14,49
"308";"Maryensztadt Nevermind vol. 5 0,44l puszka";"maryensztadt";"ipa";7,2;18;"top";14,59
"309";"Maryensztadt Nevermind vol. 7 0,44l puszka";"maryensztadt";"ipa";7,8;18;"top";13,19
"310";"Maryensztadt Niemiecki Pils 0,5l";"maryensztadt";"pils";4,5;13;"bottom";6,99
"311";"Maryensztadt Nitro Generation #1 0,44l";"maryensztadt";"stout";4,2;11;"top";11,09
"312";"Maryensztadt Projekt 30#5 – But. 0,33l (Kopia)";"maryensztadt";"stout";11,74;29,99;"top";39,99
"313";"Maryensztadt RIS Heaven Hill BA Blueberry";"maryensztadt";"stout";12;29;"top";22,99
"314";"Maryensztadt RIS Heaven Hill BA Coconut 0,44l";"maryensztadt";"stout";12;29;"top";32,39
"315";"Maryensztadt Sourtime Mango & Peach 0,5l";"maryensztadt";"ipa";6,8;18;"top";10,39
"316";"Maryensztadt Sourtime Mango IIPA 0,5l";"maryensztadt";"ipa";8,5;18;"top";10,39
"317";"Maryensztadt The Roots vol. 2 0,5l puszka";"maryensztadt";"ipa";6;16;"top";9,99
"318";"Miłosław Chmielowy Lager 0,5l puszka";"fortuna";"lager";4,5;10;"bottom";4,99
"319";"Mintaka Rigel – 500 ml puszka";"mintaka";"pszeniczne";5,4;14;"top";12,99
"320";"Monkey Feels Like Heaven 0,44l puszka";"monkey";"ipa";5,5;14;"top";11,99
"321";"Nepomucen Crazy Lines #03 0,5l puszka";"nepomucen";"ipa";7,8;22;"top";13,59
"322";"Nepomucen Crazy Lines #07 0,5l puszka";"nepomucen";"ipa";8,5;19;"top";14,49
"323";"Nepomucen Crazy Lines #10 0,5l puszka";"nepomucen";"ipa";8;18;"top";13,49
"324";"Nepomucen Crazy Lines #14 0,5l puszka";"nepomucen";"ipa";7;16,5;"top";12,99
"325";"Nepomucen Crazy Lines #15 Five o’Clock 0,5l";"nepomucen";"ipa";7,5;16,5;"top";11,39
"326";"Nepomucen Fam – 0,5l puszka";"nepomucen";"ipa";6;15,1;"top";12,99
"327";"Nepomucen Forest IPA 0,33l puszka";"nepomucen";"ipa";5,5;15,1;"top";7,49
"328";"Nepomucen From the Source Bourbon & Rum";"nepomucen";"stout";10;35;"top";19,99
"329";"Nepomucen Hall of Hops 0,5l puszka";"nepomucen";"ipa";5,5;14;"top";12,99
"330";"Nepomucen Harce – 0,5l puszka";"nepomucen";"ipa";6;15,1;"top";12,99
"331";"Nepomucen Idaho 7 0,5l puszka";"nepomucen";"ipa";7,8;19;"top";13,99
"332";"Nepomucen Jean Michel 2 0,5l puszka";"nepomucen";"stout";8,5;19;"top";11,99
"333";"Nepomucen Magnificient Three Shake It 0,5l puszka";"nepomucen";"ipa";8,2;19;"top";13,99
"334";"Nepomucen Magnificient Three: Hold It 0,5l puszka";"nepomucen";"ipa";8,2;19;"top";13,99
"335";"Nepomucen Magnificient Three: Push It 0,5l puszka";"nepomucen";"ipa";8,2;19;"top";13,99
"336";"Nepomucen Mark #2 0,5l puszka";"nepomucen";"stout";10;27,5;"top";21,99
"337";"Nepomucen Mark #3 0,5l puszka";"nepomucen";"stout";10;27,5;"top";11,99
